faction.RealWare.shortdesc	Регент: <color=#FFFEC1>Ян Фрейзер</color>, легат безопасности: <color=#FFFEC1>Ангус Денджен</color><br>Штаб: <color=#FFFEC1>ТМК «Арес» (Марс)</color><br><br>Производство оружия. Oбучение персонала служб безопасности.						
faction.RealWare.tradedesc	Приветствую, наемник. Игрушки у нас тут. Вот, что можно нам оставить:						
faction.DaydreamChems.name	Дейдрим Хим						
faction.DaydreamChems.desc	<color=#FFFEC1>Дейдрим Хим</color> — корпорация, стоящая на вершине химической индустрии Системы, особенно известная своими достижениями в производстве психоактивных веществ. Продукция компании популярна буквально во всех стратах <color=#FFFEC1>анкап-системы</color>: среди желающих расслабиться, среди учёных, если им надо разогнать разум или подавить этические регуляторы, а также, разумеется, среди военных. Химические соединения, разработанные в лабораториях Дейдрим Хим, отличаются высочайшей эффективностью. Само собой, значительное число медицинских препаратов, циркулирующих по Системе, введены в оборот именно Дейдрим Хим.<br><br>Интересно, что не все рыночные агенты хотят афишировать поставки от корпорации. Продукты, балансирующие на грани лекарств и психоактивных препаратов, Дейдрим Хим поставляет, обеспечивая анонимность получателя. Весьма вероятно, что значительная часть корпораций, которым требуется усилить способности своих сотрудников — от <color=#FFFEC1>КорВард ПГ</color> до <color=#FFFEC1>РеалВейр</color> — снабжаются именно Дейдрим Хим.<br><br><color=#FFFEC1>История</color> Дейдрим Хим начинается как анархо-капиталистическая мечта. Группа независимых фармацевтов решила создать уникальные вещества для изменения восприятия реальности. После <color=#FFFEC1>Великой Анархической Революции</color> их больше не сдерживали регулятивные законы и надуманные ограничения. Со временем их успех привел к интеграции с более крупными фармацевтическими концернами, где эти химики сразу заняли ключевые посты.						
faction.DaydreamChems.shortdesc	CEO: <color=#FFFEC1>Натали Леттман</color><br>Штаб: <color=#FFFEC1>Клиника Авиценны (Фуллер)</color><br><br>Химическая промышленность и фармацевтика.						
faction.DaydreamChems.tradedesc	Добро пожаловать! Вот список принимаемых товаров:						
faction.PlanetBridge.name	ПлэнетБридж						
faction.PlanetBridge.desc	<color=#FFFEC1>ПлэнетБридж</color> — ведущая корпорация в области инженерных и строительных технологий. Не каждое искусственные небесное тело Солнечной Системы и не каждая станция построены ПлэнетБридж. Но почти везде корпорация успела поработать подрядчиком. Причем у ПлэнетБридж нет узкой специализации: неважно, речь идет об обеспечении станции внутренней инфраструктурой или проработке транспортной сети на планете или спутнике. Лозунг ПлэнетБридж: «Наводим мосты между планетами».<br><br>Эффективность и инженерные решения ПлэнетБридж настолько прочно встроены в транспортные сети Системы, что каждая третья орбитальная станция, по слухам, несет на себе следы их вмешательства и скрытого контроля. Разумеется, работа в открытом космосе связана с рисками для жизни работников. Корпорация завлекает сотрудников обещаниями огромных финансовых наград для тех, кто готов участвовать в строительстве будущего.<br><br>ПлэнетБридж также гордится своими образовательными программами. Корпорация предоставляет обучение и повышение квалификации в области инженерии и управления проектами. Эти программы пользуются спросом как среди корпоративных игроков, стремящихся оптимизировать свои производства, так и среди родителей, рискнувших завести детей и желающих им безбедное будущее в качестве членов элитной касты строителей нового мира.<br><br><color=#FFFEC1>История</color> ПлэнетБридж восходит к эпохе, когда только начиналось активное освоение космоса. Их первые проекты включали разработку систем поддержки жизни на космических станциях и строительство первых крупных космических колоний. Всеобщее внимание молодая корпорация обратила на себя, когда купила у государств <color=#FFFEC1>Международную Космическую Станцию</color>.						
faction.PlanetBridge.shortdesc	CEO: <color=#FFFEC1>Усидзима Моромао</color><br>Штаб: <color=#FFFEC1>Аркадис (Земля)</color><br><br>Инженерно-строительная корпорация.						
faction.PlanetBridge.tradedesc	Добрый день. Нам бы не помешали такие товары:						
faction.Grasshopper.name	Грассхоппер Текнолоджис						
faction.Grasshopper.desc	<color=#FFFEC1>Грассхоппер Текнолоджис</color> — транспортный гигант, абсолютный лидер по доставке грузов во <color=#FFFEC1>Внешнюю Систему</color>. Специализация корпорации — быстрая и надёжная доставка на предельные рубежи освоенного пространства. Она же обеспечивает безопасность траспортировки, гарантируя, что все специалисты по логистике также обучены высокоэффективной обороне. На маршрутах, которые используют Грассхоппер Текнолоджис, более чем достаточно угроз, включая <color=#FFFEC1>Освобожденный Пояс</color> и его пиратские экипажи.<br><br>Корпорация гордится своими «логистическими отрядами», которые готовы дать отпор любому посягнувшему на конвой. Высокий спрос на защиту груза породил целое направление внутри корпорации, занимающееся наймом и обучением «космических ковбоев», которым интересны сражения в космосе, а не стабильная работа. Ходят слухи, что подобные отряды часто используются корпорацией далеко за пределами транспортной отрасли. По другой информации, ее оборонительные подразделения конкурируют с полноценными военными подрядчиками.<br><br>Лозунг корпорации: «Груз не только доставлен — он доставлен целым». Грассхоппер Текнолоджис предоставляет свои услуги как мелким компаниям, так и крупным игрокам, не желающим рисковать своими транспортными активами.<br><br><color=#FFFEC1>История</color> Грассхоппер Текнолоджис начинается с корпорации, доставлявшей грузы по Земле с помощью суборбитальных прыжков. Такие ракеты называли «кузнечиками», отсюда и название корпорации. Вскоре после <color=#FFFEC1>Великой Анархической Революции</color> корпорация увидела перспективы в освоении и транспортировке грузов во Внешнюю Систему, постепенно выстроив сложную логистическую инфраструктуру из промежуточных станций, а затем начав подготовку охранных отрядов.						
faction.Grasshopper.shortdesc	CEO: <color=#FFFEC1>Ходайя Леманн</color><br>Штаб: <color=#FFFEC1>Терминал Ангел (Церера)</color><br><br>Транспортная корпорация, тяжелые перевозки.						
faction.Grasshopper.tradedesc	Добро пожаловать! Нам нужно что-нибудь из этого списка:						
faction.Sunlight.name	Солнечный Ковен						
faction.Sunlight.desc	<color=#FFFEC1>Солнечный Ковен</color> — одна из самых необычных и загадочных корпораций Системы. С одной стороны, это нормальная религиозная организация. Религии были вынуждены институализироваться как корпорации в условиях <color=#FFFEC1>анкап-системы</color>. С другой стороны, Ковен конкурирует с <color=#FFFEC1>Дейдрим Хим</color> в области фармацевтических исследований. Также они соревнуются с <color=#FFFEC1>АнКом</color>, потому что владеют медиа-империей.<br><br>Основанный на традициях культов XX и XXI веков, подкрепленных современными психоактивными технологиями, Ковен предлагает своим последователям не просто религиозный опыт, а «истинное просветление». Все сотрудники корпорации обязаны участвовать в религиозных и экстатических практиках, так как считается, что просветленные люди намного эффективнее обычных.<br><br>Фармацевтический сегмент Ковена — важнейший элемент, обеспечивающий коммерческую стабильность религиозной корпорации. Солнечный Ковен продает высокоэффективные медицинские технологии, но не ведет открытую торговлю психоактивными веществами. Хотя их препараты по лечению разного вида зависимостей и поддержке реабилитации пользуются огромным спросом.<br><br>Также Ковен активно занимается медиабизнесом. Корпорация владеет несколькими киностудиями, что производят документальные фильмы о древних и современных религиозных практиках. Основные потребители этого контента — сотрудники самого Ковена. Однако многосерийные видео о древних египетских ритуалах, орденах каменщиков или фиолетовых колпаках находят своих зрителей повсюду. Это популярная форма эскапизма для корпоративных рабочих низкого ранга.<br><br>Образовательные программы Солнечного Ковена признаны одними из лучших в Системе в области социологии и религиозных исследований. Ковен оказывает образовательные услуги тем, кто хочет изучить социальные структуры и механизмы, лежащие в основе современных культов и верований. Разумеется, только один из них способен избавить от предрассудков — культ самого Ковена.<br><br>Солнечный Ковен <color=#FFFEC1>исторически возник</color> в середине XX века. Как корпорация он был оформлен вскоре после <color=#FFFEC1>Великой Анархической Революции</color>. Ответственность за организацию взяла на себя группа мистиков и учёных. Вскоре Ковен стал искать пути синтеза старых оккультных знаний с передовыми технологиями фармацевтики и нейронауки. Падение государств позволило корпорации расширить своё влияние, предлагая уникальные духовные практики, которые выходят за рамки традиционных представлений о религиозном опыте.						
faction.Sunlight.shortdesc	Архижрец: <color=#FFFEC1>Эрик МакЛатагайн</color>. Архижрица: <color=#FFFEC1>Эдита Домина</color><br>Штаб: <color=#FFFEC1>Дарк Флора (Деймос)</color><br><br>Религиозная корпорация и издатель.						
faction.Sunlight.tradedesc	Здравствуй. Да будет сотрудничество наше продуктивным:						
faction.FrancheComte.name	Франш-Конте ТР						
faction.FrancheComte.desc	<color=#FFFEC1>Франш-Конте ТР</color> — корпорация, специализирующаяся на разработке и эксплуатации высококлассных систем охраны. ТР значит «тюремные решения». Их технологии используются не только для охраны объектов, но и для содержания самых опасных врагов народа Системы. Франш-Конте ТР предоставляет полный спектр услуг — от проектирования охранных систем до управления тюрьмами, где каждый заключенный находится под постоянным и строгим контролем. Их тюрьмы известны как одни из самых защищённых и неприступных, с уникальными технологиями, которые обеспечивают невозможность побега даже для заключенных, которых будут <color=#FFFEC1>освобождать снаружи</color>.<br><br>Несмотря на то, что любую станцию корпорация превращает в тюрьму и тут же начинает извлекать из нее прибыль, они, как и все остальные, не ограничиваются работой по основному профилю. В корпорации также работает элитный штат курьеров, которые специализируются на безопасной доставке ценных грузов и чувствительных данных в самые труднодоступные или опасные места. Эти курьеры известны своей способностью избегать любых препятствий, будь то конкуренты, пиратские экипажи или неблагоприятные космические условия. Слоган корпорации описывает оба вида основных услуг: «Сохранность гарантирована». Хотят слухи, что в <color=#FFFEC1>Грассхоппер Текнолоджис</color> ненавидят Франш-Конте ТР за конкуренцию в области доставки грузов.<br><br><color=#FFFEC1>История</color> Франш-Конте ТР восходит к временам <color=#FFFEC1>Великой Анархической Революции</color>, когда исчезновение государств потребовало создания новых форм наказания и охраны. Начав с разработки охранных систем для частных тюрем, компания быстро стала ведущим поставщиком комплексных тюремных решений для множества корпоративных клиентов. <color=#FFFEC1>НКЭ</color> не вполне ясно описывает статус заключенного в рамках анкап-системы, однако Франш-Конте ТР принимают контракт на любой «груз для обеспечения сохранности». По условиям контракта, ответственность за то, чем является этот груз — на передающей стороне.						
faction.FrancheComte.shortdesc	CEO: <color=#FFFEC1>Люсьен Рошефо</color><br>Штаб: <color=#FFFEC1>Февраль (Мечта)</color><br><br>Тюремная корпорация.						
faction.FrancheComte.tradedesc	Добрый день. Вот список принимаемых товаров:						
faction.ChurchRevelation.name	Церковь Откровения						
faction.ChurchRevelation.desc	<color=#FFFEC1>Церковь Откровения</color> — крупнейшая религиозная организация <color=#FFFEC1>Солнечной Системы</color>. Она предоставляет высококачественные религиозные услуги на коммерческой основе. Их главная задача — удовлетворить духовные запросы любого индивида, который ищет откровения и смысл в мире, лишенном основы в виде таких лжепонятий как «патриотизм». Церковь Откровения ориентирована на максимально широкую аудиторию: от верующих, ищущих спасения, до тех, кто интересуется лишь терапевтическими аспектами духовной практики.<br><br>Организация продает разнообразные религиозные товары, от ритуальных предметов и амулетов до высокотехнологичных интерфейсов для создания персонализированных религиозных переживаний. Они также широко представлены в медиапространстве, производя обучающие программы и «духовные экскурсии», где каждый может пройти путь к откровению по своему вкусу — от мягкого экзистенциального поиска до интенсивных мистических практик. Церковь Откровения за очень высокую стоимость может организовать паломничество на <color=#FFFEC1>Землю</color> к уцелевшим святым местам.<br><br>Церковь придерживается политики открытости и инклюзивности, позволяя каждому выбирать, как именно они хотят взаимодействовать с верой. Услуги предоставляются как в формате одиночных ритуалов, так и в форме массовых собраний, организуемых на принадлежащих Церкви активах по всей Системе.<br><br><color=#FFFEC1>История</color> Церкви Откровения берет начало от нескольких экуменических движений, которые искали пути объединения различных религиозных течений в середине XXI века. В хаосе войн, эти движения способствовали централизации разных ветвей одной древней религии вокруг небольшой теократии в <color=#FFFEC1>Европе</color>. После <color=#FFFEC1>Великой Анархической Революции</color> экуменические движения были вынуждены адаптироваться к новым условиям. Так появилась Церковь Откровения. Она была первой, оформившейся в качестве корпорации, заняв доминирующее положение, предлагая универсальный набор ритуалов и концепций, соответствующий любым духовным запросам.						
faction.ChurchRevelation.shortdesc	Патриарх: <color=#FFFEC1>Иоанн Павел VI</color><br>Штаб: <color=#FFFEC1>Пейн-Гэп (Земля)</color><br><br>Религиозная организация, наследница земной церкви.						
faction.ChurchRevelation.tradedesc	Приветствую в нашей обители. От чего мы никогда не откажемся:						
faction.CoreWard.name	КорВард ПГ						
faction.CoreWard.desc	<color=#FFFEC1>КорВард ПГ</color> (производственная группа) — добывающая корпорация, специализирующаяся на разработке астероидов и планетарных шахтных систем. Основной деятельностью является добыча полезных ископаемых из глубин небесных тел, включая руду, редкоземельные элементы и ледяные залежи на астероидах внешней Системы. КорВард ПГ контролирует обширную сеть шахт, тоннелей и перерабатывающих комплексов, превращая суровые астероиды и планетные массивы в источники ресурсов для всей анкап-системы.<br><br>Заброшенные шахты, глубокие тоннели и истощенные астероиды — это все, что оставляет после себя КорВард ПГ. В условиях жесткой конкуренции и постоянной угрозы пиратских нападений, корпорация продолжает углубляться в самые удаленные уголки Солнечной Системы. Тяжелые работы по добыче сопровождаются сложными операциями по обеспечению безопасности и поддержанию рабочих условий в суровых средах, где даже воздух стоит целое состояние.<br><br>КорВард ПГ также активно развивает свои образовательные программы, предлагая обучение в области геологии и горного дела. Эти программы предназначены для подготовки высококлассных специалистов, способных эффективно работать в условиях глубокого космоса. Студенты корпорации проходят обучение новейшим методам анализа и обработки материалов, необходимых для успешной добычи в экстремальных условиях космических объектов.<br><br><color=#FFFEC1>История</color> КорВард ПГ начинается с первых экспедиций на <color=#FFFEC1>Марс</color>, когда добыча ресурсов вне <color=#FFFEC1>Земли</color> стала и экономически целесообразной, и необходимой. С тех пор корпорация выстроила мощную инфраструктуру, способную работать на самых негостеприимных объектах Солнечной Системы. После <color=#FFFEC1>Великой Анархической Революции</color> КорВард ПГ стала основной в производственной пирамиде анкап-системы, обеспечивая всех остальных рыночных агентов сырьем. Из-за особенно жестоких условий труда для низкоранговых рабочих, беглецы из шахт КорВард ПГ чаще других пополняют ряды <color=#FFFEC1>Гражданского Сопротивления</color>.						
faction.CoreWard.shortdesc	CEO: <color=#FFFEC1>Куамена Азамоа</color><br>Штаб: <color=#FFFEC1>Рахманинов-Энергия (Меркурий)</color><br><br>Добывающая корпорация.						
faction.CoreWard.tradedesc	Привет тебе. С радостью обсудим товары из списка:						
faction.CResistance.name	Гражданское Сопротивление						
faction.CResistance.desc	<color=#FFFEC1>Гражданское Сопротивление</color> (<color=#FFFEC1>ГС</color>) — <color=#FFFEC1>террористическая организация</color>, ведущая длительную борьбу против <color=#FFFEC1>анархо-капиталистического</color> порядка, против анкап-системы. Их цель — восстановление государств, что, по их мнению, способны вернуть контроль и порядок, «который они предпочитают необузданному хаосу анархо-капитализма». Несмотря на сомнительную цель — возвращение старого государственного строя и всеобъемлющего контроля над личной свободой — они продолжают набирать сторонников среди низкоранговых рабочих, утративших веру в равенство шансов.<br><br>Операции ГС всегда тщательно спланированы и скрытны. Даже если они прибегают к прямым действиям, то это всегда оказывается неожиданностью.<br><br>Cолдаты ГС, известные как <color=#FFFEC1>«колноды»</color>, являются измененными людьми при помощи передовых психотехник, фармпрепаратов и биотехнологий, что позволяет им действовать с беспрецедентной жестокостью и выдержкой. Основная гипотеза относительно природы колнодов состоит в том, что у них нет так называемого <color=#FFFEC1>феноменального сознания</color>, которое у обычных людей тратит слишком много энергии и задерживает работу рефлексов. Колноды известны своей поразительной боевой эффективностью и безжалостностью. Есть теория, что они не ощущают боли, страха или других человеческих эмоций, распознавая эти состояния лишь как индикаторы: повреждение, опасность и так далее. Считается, что эти изменения позволяют им сражаться до последнего, не испытывая страха смерти. Возможно, что дело не в психотехниках и медицине. Некоторые социологи считают, что ГС достаточно пропаганды для манипуляции сознанием и лишения людей базовых человеческих качеств во имя фанатичной цели.<br><br>Корни организации — остатки старых госармий, потерпевших поражение в борьбе против корпораций во время <color=#FFFEC1> Великой Анархической Революции</color>. На их базе якобы были созданы подпольные группировки, которые заложили фундамент ГС. Однако, как и почему эти группировки превратились в армию колнодов, откуда они взяли соответствующие технологии — неизвестно.<br><br>Хотя ГС борется за восстановление того, что они называют «порядком и справедливостью», на деле они стремится вернуть человечество под контроль государственных институтов, что является, как всем известно, лишь формой рабства. Их действия наносят ощутимый урон корпорациям, делая Гражданское Сопротивление значимой угрозой для анкап-системы.						
faction.CResistance.shortdesc	Руководство: генсек <color=#FFFEC1>Лия</color>, отдельные ячейки (колсозы)<br>Штаб: <color=#FFFEC1>[?]</color><br><br>Террористы, стремящиеся восстановить национальные государства.						
faction.CResistance.tradedesc	Товарищ! Наконец-то экспроприация. Вот необходимое нам на этом участке борьбы:						
faction.CResistance.focus	Достигнуть 100000 Очков Силы						
faction.Magnum.name	ЧВК «Магнум»						
faction.Unknown.name	Неизвестно						
faction.Dilthey.name	Дильтей						
faction.Dilthey.desc	<color=#FFFEC1>Дильтей</color> — инженерная корпорация. «Хранитель Пояса», как иногда называют ее восхищенные завистники или озлобленные конкуренты, что, в условиях <color=#FFFEC1>анкап-системы</color>, часто одно и то же. Своими невероятными достижениями Дильтей напоминает, что успех приходит к тем, кто способен соединить фундаментальную науку и инженерное мастерство, новые социальные условия и неудержимое стремление улучшить человеческую жизнь.<br><br>Удобнее всего описать корпорацию Дильтей через ее <color=#FFFEC1>историю</color>. Выросшая на обломках старых порядков в разгар <color=#FFFEC1>Великой Анархической Революции</color> корпорация не наследует прямо какому-либо крупному конгломерату. В начале своего пути несколько медицинских корпораций объединились с амбициозным инженерным концерном, чтобы совместно исследовать адаптацию человека к жизни в космосе. Медицинская часть корпорации сосредоточилась на психологии и психиатрии, проводя многочисленные исследования того, как психика человека реагирует на новые экстремальные условия космической среды. Результаты этих исследований позволили инженерной ветви Дильтей разрабатывать космические станции и жилые комплексы с учетом психологических и физиологических потребностей человека.<br><br>В ходе ожесточенных конфликтов на <color=#FFFEC1>Земле</color> и <color=#FFFEC1>Марсе</color>, Дильтей не участвовала в прямых боевых действиях, сосредоточив усилия на освоении <color=#FFFEC1>Главного Пояса</color> и некоторых спутников Внешней Системы. Несмотря на это, пропаганда Дильтей утверждает, что именно она сыграла решающую роль в обеспечении победы ВАР в этих регионах, защищая их от лоялистов и гражданских армий. Эти конфликты были менее разрушительными, чем сражения на внутренних планетах, но позволили Дильтей упрочить свои позиции и подготовить почву для будущего господства в космической инженерии.<br><br>Сегодня Дильтей является одним из ведущих игроков в сфере строительства и освоения космоса. Корпорация реализует проекты по созданию искусственных планет, строительства городов внутри астероидов и изменению орбит малых небесных тел. Кроме того, корпорация предлагает образовательные программы в области космической инженерии, прикладной психологии, космической социологии и даже новой философии. Эти программы пользуются особой популярностью среди тех, кто стремится не просто работать в космосе, но и принимать участие в его трансформации на благо корпораций.						
faction.Dilthey.shortdesc	Управляющий директор: <color=#FFFEC1>Сергей Кинг</color><br>Штаб: <color=#FFFEC1>Васа (Гейст)</color><br><br>Инженерно-философская корпорация.						
faction.Dilthey.tradedesc	Ваши товары должны соответствовать нашим требованиям. Вот что нам нужно:						
faction.UnchainedBelt.name	Освобожденный Пояс						
faction.UnchainedBelt.desc	<color=#FFFEC1>Освобожденный Пояс</color> (<color=#FFFEC1>ОП</color>) — это не просто собирательное название для группы врагов народа. Для многих в <color=#FFFEC1>Солнечной Системе</color> это символ истинной свободы в космическом пространстве. Их корабли внезапно появляются на пути крупных корпоративных конвоев, только чтобы забрать свое и исчезнуть, прежде чем кто-то успеет понять, что произошло.<br><br>ОП управляет множеством пиратских организаций, от отдельных экипажей до целого пиратского города <color=#FFFEC1>Харгейса</color> на астероиде <color=#FFFEC1>Интерамния</color>. ОП снабжают пиратов ресурсами и информацией, взамен получая долю от добычи. Хотя есть мнение нескольких корпоративных разведок, что ОП нельзя отделять от пиратов: это и есть пираты. Любая разбойная группа, решившая действовать в одиночку, немедленно встречается с гневом лояльных ОП экипажей.<br><br>Несмотря на свои преступные методы и чрезвычайно короткую продолжительность жизни, космические пираты вдохновляют изгоев по всей Солнечной Системе. У них есть своя философия: <color=#FFFEC1>свобода ради свободы</color>. Если у Освобожденного Пояса и есть идеология, то родилась она из недовольства ложной свободы <color=#FFFEC1>анкап-системы</color>. Для них <color=#FFFEC1>Главный Пояс</color> — это место, которое могло бы стать пространством для свободной жизни, но вместо этого превращено в ресурсную базу для корпоративной машины. В отличие от <color=#FFFEC1>Гражданского Сопротивления</color>, ОП не стремятся восстанавливать старый мир и законы. Они живут по своим собственным правилам: <color=#FFFEC1>пиратскому кодексу</color>.<br><br>Каждый новый налет — не просто атака ради ресурсов. Это акт неповиновения, восстание против анкап-системы, что хочет загнать всех в корпоративные клетки. Каждый новый рейд добавляет еще одну легенду к их славе, а слухи о величайших приключениях в истории разжигают пламя интереса и дают приток новых людей. Агентура ОП проникла повсюду — от ЧВК до самих корпораций, — и никто не может быть уверен, не работает ли его коллега на пиратов. В мире, где власть принадлежит тем, у кого больше денег и кораблей, Освобожденный Пояс выбирает жить по другим правилам: они сами творят свою судьбу в Солнечной Системе.						
faction.UnchainedBelt.shortdesc	Руководство: Совет командиров и капитанов<br>Штаб: <color=#FFFEC1>Харгейса (Интерамния)</color><br><br>Союз пиратских экипажей.						
faction.UnchainedBelt.tradedesc	Каждая сделка — шаг к свободе. Нам нужно:						
faction.SheduThousand.name	Тысяча Шеду						
faction.SheduThousand.desc	<color=#FFFEC1>Тысяча Шеду</color> — армия, основой которой стали бывшие солдаты корпорации <color=#FFFEC1>РеалВейр</color>. Они предали долг перед корпорацией ради вечного пути войны. У РеалВейр всегда была уникальная корпкультура. Хотя ее целью, как и любой другой корпорации, была прибыль, для бойцов службы безопасности превыше всего были <color=#FFFEC1>честь</color>, <color=#FFFEC1>воинская доблесть</color> и <color=#FFFEC1>достоинство</color>. Это не просто рыночная репутация, а внутренняя одержимость служить через бесконечные тренировки, жестокие испытания и войну ради самой войны. Специалисты СБ РеалВейр были натренированы сражаться в любых условиях и внедрялись в разные ЧВК под видом клонов ради экстремальной боевой практики.<br><br>Однако даже столь фанатичная дисциплина не могла устоять перед зовом разрушения. Искушение пришло, когда войска РеалВейр охраняли древние руины <color=#FFFEC1>Карстового Оазиса</color>, место упокоения повелителя брамфатуры Марса <color=#FFFEC1>Урпарпа</color> — легендарного квазиморфа и предводителя золотых легионов. Сражаясь с видениями, посланными его древней империей, солдаты поддались обещанию их нового владыки: дать им такую войну, которую они нигде больше не найдут. Урпарп не обещал богатства или политической власти. Он предложил <color=#FFFEC1>вечную войну</color>, бой ради боя, сражение, не подчиненное меркантильным целям, а лишь пламени уничтожения. Так была рождена армия Тысячи Шеду.<br><br>Дисциплинированная, хорошо оснащенная военная сила, использующая сочетание корпоративных военных технологий и того, что дает им брамфатура <color=#FFFEC1>Ур</color>. Бойцы Тысячи Шеду усилены с помощью как технологий, так и гавваха. Каждая победа питает их жажду следующий битвы. Каждый бой — это шаг на пути к вечному противостоянию.<br><br>В отличие от <color=#FFFEC1>Тецктлана</color>, Урпарп не желает построения новой Империи в Солнечной Системе. Он считает, что Тысяча Шеду должна подготовиться к пробуждению <color=#FFFEC1>Гагтунгра</color>, повелителя <color=#FFFEC1>Солнца</color>.						
