	English	Russian	German	Frenсh	Spanish	Polish	Turkish	BrazilianPortugal	Korean	Japanese	ChineseSimp
mission.proc_objective1	Mission Complete	Миссия выполнена	Mission abgeschlossen	Mission accomplie	Misión cumplida	Misja ukończona	Görev Tamamlandı	Missão Cumprida	임무 완료	任務完了	任务完成
mission.RaiderCapture_counter	{0}, remaining to kill targets: {1}.	{0}, осталость убить целей: {1}.	{0}, verbleibende Tötungsziele: {1}.	{0}, cibles encore à éliminer : {1}.	{0}, blancos por asesinar: {1}.	{0}, pozostałe cele do zabicia: {1}.	{0}, kalan öldürülecek hedef sayısı: {1}.	{0}, alvos restantes para eliminar: {1}.	{0}, 남은 제거 대상: {1}.	{0}、残りの殺害ターゲット：{1}。	{0}，剩余目标：{1}。
mission.RaiderCapture_counterFinished	{0}, floor cleared.	{0}, этаж зачищен.	{0}, Stockwerk erledigt.	{0}, niveau terminé.	{0}, piso despejado.	{0}, poziom oczyszczony.	{0}, kat temizlendi.	{0}, andar concluído.	{0}, 층 확보됨.	{0}、フロア敵全滅。	{0}，当前楼层已肃清。
mission.RaiderCapture_counterNoData	{0}, the data is being refined.	{0}, данные уточняются.	{0}, die Daten werden bereinigt.	{0}, données en cours d'affinage.	{0}, filtrando información.	{0}, dane są przetwarzane.	{0}, veriler temizleniyor.	{0}, os dados estão sendo refinados.	{0}, 데이터 개선 중.	{0}、データを精製中。	{0}，数据正在提取中。
mission.Sabotage_counter	Destroyed objectives: {0}.	Уничтожено целей: {0}.	Zerstörte Ziele: {0}.	Objectifs détruits : {0}.	Blancos destruidos: {0}.	Zniszczone cele: {0}.	Yok edilen hedef sayısı: {0}.	Objetivos destruídos: {0}.	파괴된 목표물: {0}.	破壊した目標：{0}。	已摧毁目标：{0}。
mission.Kill_counter	Killed targets: {0}.	Убито целей: {0}.	Getötete Ziele: {0}.	Cibles éliminées : {0}.	Blancos caídos: {0}.	Zabite cele: {0}.	Öldürülen hedef sayısı: {0}.	Alvos eliminados: {0}.	처치한 목표: {0}.	殺害したターゲット：{0}。	已击杀目标：{0}。
mission.Espionage_counter	Data received: {0}.	Захвачено данных: {0}.	Empfangene Daten: {0}.	Données reçues : {0}.	Información recibida: {0}.	Otrzymane dane: {0}.	Toplanılan veri: {0}.	Dados recebidos: {0}.	수신한 데이터: {0}.	受信したデータ：{0}。	已提取数据：{0}。
mission.Defense_counter	Survive {0} turns.	Продержитесь {0} ходов.	Überlebe {0} Runden.	Survivez {0} tours.	Sobrevive por {0} turnos.	Przeżyj tury: {0}.	{0} sıra hayatta kal.	Sobreviva {0} turnos.	{0}턴 동안 살아남으세요.	{0}ターン生き残る。	坚持{0}回合。
mission.Defense_counterKillSurvivors	Kill Survivors: {0}.	Добейте выживших: {0}.	Töte Überlebende: {0}.	Tuez les survivants : {0}.	Acaba con los sobrevivientes: {0}	Zabij ocalałych: {0}.	Hayatta kalanları öldür: {0}.	Mate Sobreviventes: {0}.	생존자 처치: {0}.	倒す生存者数：{0}。	赶尽杀绝：{0}。
mission.target_stage_sentence1	Mission Goal Location:	Расположение цели задания:	Missionszielort:	Emplacement de l'objectif de la mission:	Ubicación del objetivo de la misión:	Lokalizacja celu misji:	Görev Hedefi Konumu:	Localização do Objetivo da Missão:	미션 목표 위치:	任務目標の場所:	任务目标位置:
mission.target_stage_sentence2	Get to:	Доберитесь до:	Kommen Sie zu:	Arriver à:	Llegar a:	Dotrzeć do:	Ulaşmak için:	Chegue até:	도착할 곳:	到達する:	到达点：
mission.Tutorial.objective0	Clear all floors of Magnum of invaders.	Зачистите все этажи Магнума от захватчиков.	Säubere alle Stockwerke von Magnum von Eindringlingen.	Débarrassez tous les étages de Magnum des envahisseurs.	Limpia todos los pisos de Magnum de invasores.	Oczyść wszystkie piętra Magnum z najeźdźców.	Magnum'un tüm katlarını işgalcilerden temizleyin.	Elimine os invasores de todos os andares do Magnum.	매그넘의 모든 층에 있는 침입자들을 처치하십시오.	マグナムの全フロアをクリアしよう。	清除马格南所有楼层的入侵者。
mission.Tutorial.stage1.name	Bridge	Мостик	Brücke	Passerelle	Puente de mando	Mostek	Köprü üstü	Passadiço	선교	船橋	艦橋
mission.Tutorial.stage2.name	Medblock	Медблок	Medblock	Bloc médical	Medblock	Medblok	Medblock	Bloqueio médico	의무실	メドブロック	医疗区
mission.Tutorial.stage3.name	Armory	Арсенал	Waffenkammer	Armurerie	Armería	Zbrojownia	Cephanelik	Arsenal	무기고	武器庫	军械库
mission.Tutorial.stage4.name	Engine room	Двигатель	Maschinenraum	Salle des machines	Sala de máquinas	Maszynownia	Makine dairesi	Sala de máquinas	기관실	機関室	引擎室
mission.Tutorial.after	It's over. The Magnum has sustained minor damage. Basically, it won't affect the functionality of the equipment and crew, so we can go where we want and do what we want. The system is open to us.	Все кончено. «Магнум» понес небольшие повреждения. В принципе, это не повлияет на работоспособность оборудования и экипажа, так что мы можем двигаться туда, куда хотим и делать то, что хотим. Система открыта для нас. 	Das war's. Die Magnum hat einen leichten Schaden erlitten. Die Funktionsfähigkeit der Ausrüstung und der Besatzung wird nicht beeinträchtigt, so dass wir gehen können, wohin wir wollen und tun, was wir wollen. Das System ist für uns offen.	C'est terminé. Le Magnum a subi des dommages mineurs. En gros, cela n'affectera pas la fonctionnalité de l'équipement et de l'équipage, donc nous pouvons aller où nous voulons et faire ce que nous voulons. Le système nous est ouvert.	Se acabó. El Magnum ha sufrido daños menores. Básicamente, no afectará a la funcionalidad del equipo y la tripulación, así que podemos ir donde queramos y hacer lo que queramos. El sistema está abierto para nosotros.	To koniec. Magnum odniósł niewielkie uszkodzenia. Zasadniczo nie wpłynie to na funkcjonalność sprzętu i załogi, więc możemy udać się tam, gdzie chcemy i robić to, co chcemy. System jest dla nas otwarty.	Bitti. Magnum küçük bir hasar aldı. Temel olarak, ekipman ve mürettebatın işlevselliğini etkilemeyecek, bu yüzden istediğimiz yere gidebilir ve istediğimizi yapabiliriz. Sistem bize açık.	Acabou. A Magnum sofreu pequenos danos. Basicamente, isso não afetará a funcionalidade do equipamento e da tripulação, portanto, podemos ir aonde quisermos e fazer o que quisermos. O sistema está aberto para nós.	끝났습니다. 매그넘은 경미한 손상을 입었습니다. 기본적으로 장비와 승무원의 기능에는 영향을 미치지 않으니 원하는 곳으로 가서 원하는 일을 할 수 있습니다. 태양계가 저희 앞에 펼쳐져있습니다.	終わった マグナムは軽微なダメージを受けている。基本的に機器やクルーの機能には影響しないので、好きな場所に行って好きなことができる。システムは我々に開かれている。	结束了 马格南号受到轻微损伤 基本上不会影响设备和船员的功能 所以我们可以去我们想去的地方 做我们想做的事 系统对我们开放
mission.SecondTutorial.name	Taste of revenge	Вкус мести	Geschmack der Rache	Goût de la vengeance	Sabor a venganza	Smak zemsty	İntikamın Tadı	Gosto de vingança	복수의 맛	復讐の味	复仇的滋味
mission.SecondTutorial.briefing	Keep in mind that we're not getting paid for this. Taking a contract would have been a better idea. <color=#FFFEC1>Civil Resistance</color> has set up a field camp in <color=#FFFEC1>Rogue City</color>. Training complexes, as well as some kind of medical facilities or laboratories. It's unclear. Sometimes messages flash in the <color=#FFFEC1>CBN</color> that terrorists are accumulating rare and valuable items. Weapons and equipment for their 'liberation struggle'. Maybe we can justify the time spent here if we're lucky. So let's get even, but let's do it with benefit. Get to their anti-space defense complex and destroy it. After that, the pilots will direct <color=#FFFEC1>‘Magnum’</color> to the cargo dock in <color=#FFFEC1>Rogue City</color> and we will start loading everything that's lying there.	Учтите, что нам за это не платят. Взять контракт - было бы лучшей идеей. <color=#FFFEC1>Гражданское Сопротивление</color> развернуло в <color=#FFFEC1>Руж-Сити</color> полевой лагерь. Тренировочные комплексы, а также какие-то то ли медицинские комплексы, то ли лаборатории. Непонятно. Иногда в <color=#FFFEC1>СБН</color> проскакивают сообщения, что террористы накапливают редкие и ценные предметы. Оружие и экипировку для своей <color=#FFFEC1>«освободительной борьбы»</color>. Может быть мы сможем оправдать затраченное здесь время, если нам повезет. Поэтому отомстим, но отомстим с пользой. Доберись до их комплекса противокосмической обороны и уничтожь его. После этого пилоты направят <color=#FFFEC1>«Магнум»</color> к грузовому доку <color=#FFFEC1>Руж-Сити</color> и мы приступим к погрузке всего, что там плохо лежит.	Denken Sie daran, dass wir dafür nicht bezahlt werden. Einen Vertrag abzuschließen, wäre eine bessere Idee gewesen. Das <color=#FFFEC1>Bürgerwiderstand</color> hat in <color=#FFFEC1>Schurkenstadt</color> ein Feldlager eingerichtet. Trainingskomplexe sowie irgendwelche medizinischen Einrichtungen oder Labore. Es ist unklar. Manchmal erscheinen Nachrichten im <color=#FFFEC1>CBN</color>, dass Terroristen seltene und wertvolle Gegenstände anhäufen. Waffen und Ausrüstung für ihren 'Befreiungskampf'. Vielleicht können wir die hier verbrachte Zeit rechtfertigen, wenn wir Glück haben. Also lasst uns gleichziehen, aber mit Nutzen. Gelangen Sie zu ihrem Anti-Weltraumabwehrkomplex und zerstören Sie ihn. Anschließend werden die Piloten <color=#FFFEC1>‘Magnum’</color> zur Ladedocke in <color=#FFFEC1>Schurkenstadt</color> lenken und wir werden damit beginnen, alles zu laden, was dort liegt.	Gardez à l'esprit que nous ne sommes pas payés pour cela. Prendre un contrat aurait été une meilleure idée. <color=#FFFEC1>Résistance civile</color> a installé un camp de terrain dans <color=#FFFEC1>Rogue City</color>. Complexes d'entraînement, ainsi que des installations médicales ou des laboratoires. C'est flou. Parfois, des messages flashent dans le <color=#FFFEC1>CBN</color> indiquant que des terroristes accumulent des objets rares et précieux. Armes et équipement pour leur 'lutte de libération'. Peut-être pouvons-nous justifier le temps passé ici si nous avons de la chance. Alors vengeons-nous, mais faisons-le avec profit. Rendez-vous dans leur complexe de défense anti-espace et détruisez-le. Après cela, les pilotes dirigeront le <color=#FFFEC1>‘Magnum’</color> vers le quai de chargement à <color=#FFFEC1>Rogue City</color> et nous commencerons à charger tout ce qui s'y trouve.	Ten en cuenta que no nos están pagando por esto. Habría sido mejor idea aceptar un contrato. El <color=#FFFEC1>Resistencia Civil</color> ha establecido un campamento de campo en <color=#FFFEC1>Rogue City</color>. Complejos de entrenamiento, así como alguna especie de instalaciones médicas o laboratorios. No está claro. A veces aparecen mensajes en la <color=#FFFEC1>CBN</color> que indican que los terroristas están acumulando artículos raros y valiosos. Armas y equipo para su 'lucha de liberación'. Tal vez podamos justificar el tiempo pasado aquí si tenemos suerte. Así que vengámonos, pero hagámoslo con beneficio. Llega hasta su complejo de defensa antispace y destrúyelo. Después, los pilotos dirigirán el <color=#FFFEC1>‘Magnum’</color> hacia el muelle de carga en <color=#FFFEC1>Rogue City</color> y comenzaremos a cargar todo lo que esté allí tirado.	Pamiętaj, że nie dostajemy za to żadnej zapłaty. Przyjęcie kontraktu byłoby lepszym pomysłem. <color=#FFFEC1>Cywilny Ruch Oporu</color> założył obóz terenowy w <color=#FFFEC1>Rogue City</color>. Kompleksy treningowe, a także jakieś rodzaje obiektów medycznych lub laboratoria. To niejasne. Czasem na platformie <color=#FFFEC1>CBN</color> pojawiają się komunikaty o tym, że terroryści gromadzą rzadkie i cenne przedmioty. Broń i sprzęt do ich 'walki wyzwoleńczej'. Być może będziemy w stanie uzasadnić tutaj spędzony czas, jeśli będziemy mieli szczęście. Dlatego zemścijmy się, ale zróbmy to z korzyścią. Dotrzyj do ich kompleksu obrony antykosmicznej i zniszcz go. Następnie piloci skierują <color=#FFFEC1>‘Magnum’</color> do doku ładunkowego w <color=#FFFEC1>Rogue City</color> i rozpoczniemy załadunek wszystkiego, co tam leży.	Unutmayın, bize bunun için ödeme yapılmıyor. Bir sözleşme almak daha iyi bir fikir olurdu. <color=#FFFEC1>Sivil Direniş</color>, <color=#FFFEC1>Haydut Şehri</color>'nde bir saha kampı kurdu. Eğitim kompleksleri, aynı zamanda bazı tıbbi tesisler veya laboratuvarlar türünden bir şeyler. Belirsiz. Ara sıra <color=#FFFEC1>CBN</color>'de teröristlerin nadir ve değerli eşyalar biriktirdiğine dair mesajlar gözüküyor. Silahlar ve ekipmanları 'kurtuluş mücadelesi' için. Belki burada geçirdiğimiz zamanı haklı çıkarabiliriz, eğer şanslıysak. Bu yüzden intikam alalım, ama faydalı şekilde. Onların uzay karşıtı savunma komplekslerine ulaş ve onları yok et. Bundan sonra pilotlar <color=#FFFEC1>‘Magnum’</color>'u <color=#FFFEC1>Haydut Şehri</color>'ndeki kargo rampasına yönlendirecek ve orada bulunan her şeyi yüklemeye başlayacağız.	Tenha em mente que não estamos sendo pagos por isso. Aceitar um contrato teria sido uma ideia melhor. A <color=#FFFEC1>Resistência Civil</color> estabeleceu um acampamento de campo na <color=#FFFEC1>Cidade Rogue</color>. Complexos de treinamento, bem como algum tipo de instalações médicas ou laboratórios. Não está claro. Às vezes, aparecem mensagens no <color=#FFFEC1>CBN</color> indicando que os terroristas estão acumulando itens raros e valiosos. Armas e equipamentos para sua 'luta pela libertação'. Talvez possamos justificar o tempo gasto aqui se tivermos sorte. Então, vamos nos vingar, mas vamos fazer isso com benefício. Chegue ao complexo de defesa anti-espacial deles e destrua-o. Depois disso, os pilotos direcionarão o <color=#FFFEC1>‘Magnum’</color> para o cais de carga na <color=#FFFEC1>Cidade Rogue</color> e começaremos a carregar tudo o que estiver lá.	저희가 이 임무를 완료해도 저희에게 돈을 지불할 세력은 없다는 것만 기억하십시오. 차라리 계약을 맺는 것이 더 나은 생각이었을 겁니다. <color=#FFFEC1>시민 저항 세력</color>은 <color=#FFFEC1>로그 시티</color>에 진지를 구축해놓았습니다. 훈련소와 의료 시설 내지 연구소처럼 보이는 시설이 존재합니다. 확실하진 않습니다. 가끔 <color=#FFFEC1>CBN</color>에서 테러리스트들이 희귀하고 값진 물건, '해방 투쟁'을 위한 무기와 장비들을 모으고 있다는 메시지가 들려옵니다. 운이 좋다면 아마 여기서 허비한 시간을 정당화할 수도 있겠습니다. 복수를 하되, 저희의 이익도 챙기는 겁니다. 그들의 우주선 방어 시설을 찾아 파괴하십시오. 그 후에는 파일럿들이 <color=#FFFEC1>‘매그넘’</color>을 <color=#FFFEC1>로그 시티</color>의 화물 선착장으로 이끌고 그곳에 있는 모든 것을 싣기 시작할 것입니다.	私たちにはこれに対して支払われることはないことを念頭に置いてください。契約を結ぶ方がより良い考えだったでしょう。 <color=#FFFEC1>市民レジスタンス</color> は <color=#FFFEC1>ローグシティー</color> に野外キャンプを設置しました。 トレーニング施設、および医療施設や研究施設のようなものもあります。 はっきりしません。 時々、テロリストが希少で貴重なアイテムを蓄積しているとのメッセージが <color=#FFFEC1>CBN</color> に表示されます。 彼らの「解放闘争」のための武器と装備。 幸運ならばここでの時間を正当化することができるかもしれません。 だから、私たちは報復しましょう、しかし有益な形で。 彼らの対宇宙防衛施設に到達して破壊してください。 その後、パイロットたちは <color=#FFFEC1>‘マグナム’</color> を <color=#FFFEC1>ローグシティー</color> の貨物ドックに向け、そこにあるすべてを積み始めます。	请记住，我们做这件事是不会得到报酬的。接受合同可能会是一个更好的主意。 <color=#FFFEC1>人民义军</color> 在 <color=#FFFEC1>叛离城</color> 建立了一个野外营地。 训练设施，以及一些医疗设施或实验室。 还不清楚。 有时会在 <color=#FFFEC1>CBN</color> 上出现消息，称恐怖分子正在积累稀有且有价值的物品。 他们的「解放斗争」所需的武器和装备。 如果我们很幸运，也许我们能够证明在这里度过的时间是有价值的。 所以让我们进行复仇，但要有所收获。 前往他们的反宇宙防御设施并摧毁它。 之后，飞行员们将把 <color=#FFFEC1>‘马格南号’</color> 驶向 <color=#FFFEC1>叛离城</color> 的货运码头，然后我们将开始装载那里的一切。
mission.SecondTutorial.desc	The Rouge City Station's autonomous missile defense server must be destroyed.	Необходимо уничтожить сервер автономной противоракетной обороны станции Руж-Сити.	Der autonome Raketenabwehrserver der Rouge City Station muss zerstört werden.	Le serveur autonome de défense antimissile de la Rouge City Station doit être détruit.	El servidor autónomo de defensa antimisiles de la estación de Ciudad Rouge debe ser destruido.	Autonomiczny serwer obrony przeciwrakietowej stacji Rouge City musi zostać zniszczony.	Rouge Şehir İstasyonu'nun otonom füze savunma sunucusu yok edilmeli.	O servidor autônomo de defesa antimísseis da estação Rouge City deve ser destruído.	로그 시티 스테이션의 자율 미사일 방어 서버를 파괴해야 합니다.	ルージュ・シティ・ステーションの 自律ミサイル防衛サーバーを 破壊しなければならない	必须摧毁胭脂市站的自主导弹防御服务器。
mission.SecondTutorial.details	The Civil Resistance Colnodes attempted to attack our mobile headquarters. We have successfully fought back and must now counterattack their training center.	Колноды Гражданского Сопротивления попытались атаковать нашу мобильную штаб-квартиру. Мы успешно отбились и теперь должны контратаковать их тренировочный центр.	Die Colnodes des zivilen Widerstands haben versucht, unser mobiles Hauptquartier anzugreifen. Wir haben erfolgreich zurückgeschlagen und müssen nun einen Gegenangriff auf ihr Ausbildungszentrum starten.	Les Colnodes de la résistance civile ont tenté d'attaquer notre quartier général mobile. Nous avons réussi à les repousser et devons maintenant contre-attaquer leur centre d'entraînement.	Los Colnode de la Resistencia Civil intentaron atacar nuestro cuartel general móvil. Nos hemos defendido con éxito y ahora debemos contraatacar su centro de entrenamiento.	Kolonodzi Cywilnego Ruchu Oporu próbowali zaatakować naszą mobilną kwaterę główną. Udało nam się odeprzeć atak i musimy teraz kontratakować ich centrum szkoleniowe.	Sivil Direniş Colnodeları mobil karargâhımıza saldırmaya çalıştı. Başarıyla karşılık verdik ve şimdi eğitim merkezlerine karşı saldırıya geçmeliyiz.	Os Colnodes da Resistência Civil tentaram atacar nosso quartel-general móvel. Conseguimos revidar com sucesso e agora devemos contra-atacar o centro de treinamento deles.	시민 저항군 콜노드가 이동식 본부를 공격하려고 시도했습니다. 성공적으로 방어에 성공했으니 이제 그들의 훈련 센터에 반격을 해야 합니다.	市民レジスタンスのコルノッドが我々の移動本部を攻撃しようとした。我々は反撃に成功したので、彼らの訓練センターに反撃しなければならない。	科尔诺德民间抵抗组织试图攻击我们的移动总部。我们已成功反击，现在必须反击他们的训练中心。
mission.SecondTutorial.objective0	Destroy Rouge City Station's missile defense control center.	Уничтожьте центр управления ПРО станции Руж-Сити.	Zerstöre das Raketenabwehr-Kontrollzentrum der Rouge City Station.	Détruisez le centre de contrôle de la défense antimissile de Rouge City Station.	Destruye el centro de control de defensa antimisiles de la estación de Ciudad Rouge.	Zniszczyć centrum kontroli obrony przeciwrakietowej stacji Rouge City.	Rouge Şehir İstasyonu'nun füze savunma kontrol merkezini yok edin.	Destrua o centro de controle de defesa antimísseis da estação de Rouge City.	로그 시티 스테이션의 미사일 방어 통제 센터를 파괴하십시오.	ルージュ・シティ・ステーションのミサイル防衛管制センターを破壊せよ。	摧毁胭脂市站的导弹防御控制中心。
mission.SecondTutorial.objective1	The missile defense control center has been successfully destroyed. We can evacuate.	Центр управления ПРО успешно уничтожен. Можно эвакуироваться.	Das Raketenabwehr-Kontrollzentrum wurde erfolgreich zerstört. Wir können evakuieren.	Le centre de contrôle de la défense antimissile a été détruit avec succès. Nous pouvons évacuer.	El centro de control de defensa antimisiles ha sido destruido con éxito. Podemos evacuar.	Centrum kontroli obrony przeciwrakietowej zostało pomyślnie zniszczone. Możemy się ewakuować.	Füze savunma kontrol merkezi başarıyla imha edildi. Tahliye edebiliriz.	O centro de controle de defesa antimísseis foi destruído com sucesso. Podemos evacuar.	미사일 방어 통제 센터를 성공적으로 파괴했습니다. 대피할 수 있습니다.	ミサイル防衛コントロールセンターは破壊に成功した。我々は避難できる	导弹防御控制中心已被成功摧毁。我们可以撤离了
mission.SecondTutorial.stage1.name	Landing dock	Посадочный док	Landungssteg	Quai d'atterrissage	Muelle de desembarco	Lądowisko	İniş rıhtımı	Doca de pouso	착륙장	着陸ドック	登陆船坞
mission.SecondTutorial.stage2.name	Warehouses	Склады	Lagerhallen	Entrepôts	Almacenes	Magazyny	Depolar	Armazéns	창고	倉庫	仓库
mission.SecondTutorial.stage3.name	Control Center	Центр управления	Kontrollzentrum	Centre de contrôle	Centro de control	Centrum kontroli	Kontrol Merkezi	Centro de controle	통제 센터	コントロールセンター	控制中心
mission.SecondTutorial.after	We not only took all the valuables, but also patched up the holes from the boarding shuttles. In <color=#FFFEC1>Rogue City</color> we had everything we needed for that. Boss, we also found a <color=#FFFEC1>PCPU with a database</color> belonging to the <color=#FFFEC1>AnCom</color> corporation. There is a lot of information about <color=#FFFEC1>quasimorphosis</color> research. They are willing to generously compensate for our expenses in return for such valuable intellectual property. But of course, we made a copy of all the data from their device. Their agent is ready to meet us in <color=#FFFEC1>Rebus Sky City</color> in orbit of <color=#FFFEC1>Mars</color>.	Мы не только забрали все самое ценное, но и залатали пробоины от абордажных шаттлов. В <color=#FFFEC1>Руж-Сити</color> для этого было все необходимое. Босс, мы также нашли <color=#FFFEC1>ПКПУ с базой данных</color>, принадлежащей корпорации <color=#FFFEC1>АнКом</color>. Там очень много про исследование <color=#FFFEC1>квазиморфоза</color>. Они готовы щедро компенсировать наши издержки за возврат такой ценной интеллектуальной собственности. Но мы конечно сделали себе копию всех данных с их устройства. Их агент готов встретиться с нами в <color=#FFFEC1>НГ Ребус</color> на орбите <color=#FFFEC1>Марса</color>.	Wir haben nicht nur alle Wertsachen mitgenommen, sondern auch die Löcher von den Boarding-Shuttles gestopft. In <color=#FFFEC1>Rogue City</color> hatten wir alles, was dafür nötig war. Boss, wir haben auch ein <color=#FFFEC1>PCPU mit einer Datenbank</color> der Firma <color=#FFFEC1>AnCom</color> gefunden. Es gibt dort viele Informationen über die Forschung zu <color=#FFFEC1>Quasimorphose</color>. Sie sind bereit, unsere Ausgaben großzügig für die Rückgabe solch wertvollen geistigen Eigentums zu kompensieren. Aber natürlich haben wir eine Kopie aller Daten von ihrem Gerät gemacht. Ihr Agent ist bereit, uns in <color=#FFFEC1>Rebus Sky City</color> im Orbit des <color=#FFFEC1>Mars</color> zu treffen.	Nous avons non seulement pris tous les objets de valeur, mais nous avons également colmaté les trous laissés par les navettes d'abordage. À <color=#FFFEC1>Rogue City</color>, nous avions tout le nécessaire pour cela. Patron, nous avons également trouvé un <color=#FFFEC1>PCPU avec une base de données</color> appartenant à la corporation <color=#FFFEC1>AnCom</color>. Il y a beaucoup d'informations sur la recherche sur la <color=#FFFEC1>quasimorphose</color>. Ils sont prêts à compenser généreusement nos dépenses en échange de cette précieuse propriété intellectuelle. Mais bien sûr, nous avons fait une copie de toutes les données de leur appareil. Leur agent est prêt à nous rencontrer à <color=#FFFEC1>Rebus Sky City</color> en orbite de <color=#FFFEC1>Mars</color>.	No solo tomamos todas las cosas valiosas, sino que también tapamos los agujeros de las lanzaderas de abordaje. En <color=#FFFEC1>Rogue City</color> teníamos todo lo necesario para eso. Jefe, también encontramos un <color=#FFFEC1>PCPU con una base de datos</color> perteneciente a la corporación <color=#FFFEC1>AnCom</color>. Hay mucha información sobre la investigación de la <color=#FFFEC1>cuasimorfosis</color>. Están dispuestos a compensar generosamente nuestros gastos a cambio de esta valiosa propiedad intelectual. Pero por supuesto, hicimos una copia de todos los datos de su dispositivo. Su agente está listo para reunirse con nosotros en <color=#FFFEC1>Rebus Sky City</color> en la órbita de <color=#FFFEC1>Marte</color>.	Nie tylko zabraliśmy wszystkie cenne rzeczy, ale także załataliśmy dziury po promach abordażowych. W <color=#FFFEC1>Rogue City</color> mieliśmy wszystko, czego potrzebowaliśmy do tego. Szefie, znaleźliśmy także <color=#FFFEC1>PCPU z bazą danych</color> należącą do korporacji <color=#FFFEC1>AnKom</color>. Znajduje się tam wiele informacji na temat badania <color=#FFFEC1>quasimorfizmu</color>. Są chętni hojnie zrekompensować nasze wydatki w zamian za taki cenny własności intelektualnej. Ale oczywiście zrobiliśmy kopię wszystkich danych z ich urządzenia. Ich agent jest gotowy spotkać się z nami w <color=#FFFEC1>Rebus Sky City</color> na orbicie <color=#FFFEC1>Marsa</color>.	Sadece değerli olan her şeyi almakla kalmadık, aynı zamanda bordo şatolarından gelen delikleri de kapattık. Bunun için <color=#FFFEC1>Rogue City</color>'de ihtiyacımız olan her şey vardı. Patron, ayrıca <color=#FFFEC1>AnCom</color> şirketine ait bir <color=#FFFEC1>veritabanına sahip bir PCPU</color> bulduk. Orada <color=#FFFEC1>kısmimorfoz</color> araştırmaları hakkında çok fazla bilgi var. Onlar, böyle değerli bir entelektüel mülkün karşılığında cömertçe harcamalarımızı telafi etmeye hazırlar. Ama tabii ki, onların cihazındaki tüm verilerin bir kopyasını yaptık. Onların ajanı, bize <color=#FFFEC1>Mars</color>'ın yörüngesindeki <color=#FFFEC1>Rebus Sky City</color>'de buluşmaya hazır.	Não apenas levamos todos os objetos de valor, mas também tapamos os buracos dos vaivéns de abordagem. Em <color=#FFFEC1>Rogue City</color> tínhamos tudo o que era necessário para isso. Chefe, também encontramos um <color=#FFFEC1>PCPU com uma base de dados</color> pertencente à corporação <color=#FFFEC1>AnCom</color>. Há muitas informações sobre a pesquisa de <color=#FFFEC1>quasimorfoses</color>. Eles estão dispostos a compensar generosamente nossas despesas em troca de propriedade intelectual tão valiosa. Mas é claro, fizemos uma cópia de todos os dados de seu dispositivo. O agente deles está pronto para nos encontrar em <color=#FFFEC1>Rebus Sky City</color> em órbita de <color=#FFFEC1>Marte</color>.	저희는 그들의 귀중품을 탈취한 것으로도 모자라, 탑승 셔틀의 구멍도 막았습니다. 이를 위해 필요한 모든 물품은 <color=#FFFEC1>로그 시티</color>에 있었습니다. 사장님, 우리는 또한 <color=#FFFEC1>AnCom</color> 기업에 속한 <color=#FFFEC1>PCPU 데이터 베이스</color>도 발견했습니다. 그 곳에는 <color=#FFFEC1>준형성 변이</color>연구에 대한 많은 정보가 있었습니다. 기업은 이 귀중한 지적재산을 반환하는 것으로 저희에게 후한 보상을 주려고 합니다. 물론, 저희는 그들의 장치에 있는 모든 데이터의 사본을 만들었죠. 마침 기업측 요원이 <color=#FFFEC1>화성</color> 궤도상의 <color=#FFFEC1>레부스 하늘 도시</color>에서 저희를 만날 준비가 되었다고 하네요.	我々は貴重品を持ち去るだけでなく、ボーディングシャトルからの穴もふさぎました。そのために<color=#FFFEC1>Rogue City</color>にはそのための必需品がありました。ボス、<color=#FFFEC1>AnCom</color>社の<color=#FFFEC1>データベースを持つPCPU</color>も見つけました。そこには<color=#FFFEC1>クアージモーフォーシス</color>の研究に関する多くの情報があります。彼らはそのような貴重な知的財産を返却するために私たちの費用を寛大に補償する用意があります。もちろん、彼らのデバイスからすべてのデータのコピーを作りました。彼らのエージェントは<color=#FFFEC1>火星</color>の軌道上にある<color=#FFFEC1>リーバス・スカイシティ</color>で私たちと会う準備ができています。	我们不仅带走了所有贵重物品，还补上了登船穿梭机留下的洞。在<color=#FFFEC1>Rogue City</color>，我们有一切必需的东西。老板，我们还找到了属于<color=#FFFEC1>AnCom</color>公司的<color=#FFFEC1>带有数据库的PCPU</color>。里面有很多关于<color=#FFFEC1>异变</color>研究的信息。他们愿意慷慨地补偿我们的开支，以换取如此珍贵的知识产权。当然，我们也复制了他们设备中的所有数据。他们的特工准备在<color=#FFFEC1>火星</color>轨道上的<color=#FFFEC1>画谜天空</color>与我们会面。
mission.SinkholePeaceVisit.objective0	Find the Spear of Tezctlan	Найти копье Тецктлана	Finde den Speer von Tezctlan	Trouvez la chose dont Xiomara vous a parlé	Encuentra la Lanza de Tezctlan	Znajdź Włócznię Tezctlan	Tezctlan'ın Mızrağı'nı Bul	Encontre a Lança de Tezctlan	텍틀란의 창을 찾아라	テクトランの槍を見つける	寻找希奥玛拉谈到的东西
mission.SinkholePeaceVisit.objective1	Find three data-containers	Найти три контейнера с данными	Finde drei Datencontainer	Trouvez trois contenants de données	Encuentra tres contenedores de datos	Znajdź trzy kontenery danych	Üç veri konteyneri bulun	Encontre três data-containers	데이터 컨테이너 세 개 찾기	データコンテナを3つ見つける	寻找三个数据容器
