	English						
station.TSWatcher.shortname	TSW						
station.TSWatcher.type	Refueling Terminal						
station.TSWatcher.desc	A fueling station and landing terminal for HIS. If you want to fly past the major ports of the Main Belt on your way to the Outer or Inner System, you'll definitely make a stop here.						
station.HumankindsHope.name	Humankinds's Hope Citadel						
station.HumankindsHope.shortname	HHP						
station.HumankindsHope.type	Base						
station.HumankindsHope.desc	Once the headquarters of the Hive Corporation, which ceased to exist in the mid-22nd century, the asset is now an auxiliary headquarters and a place for management meetings. It is usually rented out for the same purposes.						
station.Origin.name	Origin						
station.Origin.shortname	ORG						
station.Origin.type	Mining Facility						
station.Origin.desc	Once a small mining base that collected frozen methane from beneath the surface, it became a major base when large deposits of platinum were discovered there.						
station.Vasa.name	Vasa						
station.Vasa.shortname	VAS						
station.Vasa.type	Space City						
station.Vasa.desc	A city whose relative top is always directed towards the Sun. The peculiarities of Geist's orbit and its control, carried out from Vasa, always maintain this position. Special light concentrators, made according to Dilthey's strictly classified technology, allow the city to be illuminated so that it is even possible to maintain a real park in it.						
station.Malmo.name	Malmö						
station.Malmo.shortname	MAL						
station.Malmo.type	Space City						
station.Malmo.desc	The city is located entirely inside Geist, on the inner surface of a huge artificial cave. Malmö is illuminated by a fiber optic thread that wraps around the ceiling and emits a powerful light. The station does not have its own port, so the only way to get to and from Malmö is through transport tunnels that connect the city with two others: Vasa and Schwerin.						
station.Schwerin.name	Schwerin						
station.Schwerin.shortname	SWN						
station.Schwerin.type	Spaceport						
station.Schwerin.desc	A spaceport, combined with a refueling and repair station. No matter who owns Schwerin, there will always be shady dealings here. Crowds of idle, frenzied crew members wander its corridors while their spacecrafts are being repaired. Corporate spies try to legitimize their presence through Schwerin. Fortune seekers who have earned a few dignitas in the Belt asteroid mines try to find more lucrative work here. Schwerin is always facing away from the Sun, in every sense.						
station.Hargeysa.name	Hargeysa						
station.Hargeysa.shortname	HAR						
station.Hargeysa.type	Pirate Base						
station.Hargeysa.desc	Tortuga of the 23rd century, built by the pirates themselves. In the hard days after the <color=#FFFEC1>Great Anarchist Revolution</color> (<color=#FFFEC1>VAR</color>), the asteroid became a refuge for all those who did not want to work honestly for the benefit of free humanity. All sorts of scum went here, and while the hexarchy was creating the ancap system, crime and violence nested here. At least, that's how it's presented in the films produced by the many film companies owned by AnCom.<br><br>Hargeisa is the gathering point for all illegal groups in the Main Belt and the Outer System.						
station.Jamame.name	Jamame						
station.Jamame.shortname	JAM						
station.Jamame.type	Spaceport						
station.Jamame.desc	The second station on Interamnia, besides Hargeisa. Once the Voyage Terminal and the property of the Tianming Corporation, today it is a challenge prize between the pirates and the system corporation. When the latter is in charge, the anti-piracy center intercepts spacecrafts arriving in Hargeisa, and when the pirates or the Civil Resistance are at the helm, temporary peace is established on the asteroid.						
station.RedThrone.name	Red Throne						
station.RedThrone.shortname	RTN						
station.RedThrone.type	CR Base						
station.RedThrone.desc	Civil Resistance HIS David went here from Bastion Oracle. Red Throne on Hecate is the main base of Civil Resistance.						
missiontype.RaiderCapture.name	Conquest						
missiontype.Sabotage.name	Sabotage						
missiontype.Espionage.name	Espionage						
missiontype.Elimination.name	Elimination						
missiontype.Defense.name	Defense						
missiontype.Ritual.name	Ritual						
missiontype.Robbery.name	Robbery						
missiontype.Infiltration.name	Infiltration						
missiontype.Control.name	Control						
missiontype.Escort.name	Escort						
missiontype.Counterattack.name	Counterattack						
missiontype.Security.name	Security						
missiontype.story.name	Story						
mission.Corp.names	Eclipse;Enlightenment;Moonlight;Intermission;Siren's Song;Pink Demon;Urban Knight;Mediator;Verdict for Money;Death of a Sensation;Citizen X;Zugzwang;Cold Toys;Orphans of the Sky;You Men of Violence;Hidden Figures;Just a model;Bring It On;Living Puppet;Closing the Circle;Playing at the Top;The Invention of Lies;Casus Belli						
mission.Tezctlan.names	Tonal;Nagual;Tonal and Nagual;Gift of Xolotl;Baptism of Chantico;Yohualtecuhtin;200 Gods of the Southern Stars;God of Venus;Live by the highest grace;All flesh is gavvakh;Territory of Screams;Scarlet Letter;Arena of Mortals;In the Valley of Violence;Master of Fates;Tensegrity;Puzzle of bodies;Thicker than Blood;Twice Born;Kingdom of Fear;Dawn of the Endless Night;King and Assassin						
mission.Xiomara.names	Yaqui Path;Separate Reality;Journey to Ixtlan;Tales of Power;The Eagle’s Gift;Fire from Within;The Power of Silence;The Art of Dreaming;The Wheel of Time;Magical Passes;After the Storm;The Wind of an Alien World;Toy of Fate;Into the Abyss;In waiting for eternity;Through the Looking Glass;The Perfect Creation;The Queen's Game;When Night Falls						
mission.CivilRes.names	Penetration;Positiff;Rip the System;Sex on the Flag;Juke-Joint Jezebel;Revolution;Wrath;Ikons;Megalomania;Stray Bullet;Attack/Reload;WWIII;Bullets & Bombs;Free Your Hate;Looking for Strange;Rebels in Kontrol;Kunst;Our Time Will Come;Disturb the Peace;Down-and-out;Krank;Amnesia						
mission.Pirates.names	Mutiny on the deck;Bluebeard;Morgan;Harpoon;Boarding;Black Flag;The Nine-Tails;Walking the Plank;Keeling;Scurvy;Dead Man's Chest;Black Raven;Powder Monkeys;Wind in Sails;Map and Compass;Colderstock;Saints and Devils;Not just robbery;Space Wolves		5146	148	0,05146	0,00444	0,0559
mission.Shedu.names	Doom of Anunnaki;Song of Enlil;Punishment of Gilgamesh;Seal of Nergal;Shadow of Kur;Gate of Eridu;Wrath of Enki;Call of Ereshkigal;Eye of Shummuramat;Serpents of Anzu;Burden of Izmu;War of Gudsah;Presence of Zahra;Deformation of Matur;Dream of Pshutu;Box of Aiyar;Cry of Veltahur ;Aklo's Glove;Sheid's Poison;Om-Uru's Melody		5264	315	0,002632	0,0004725	0,0031045
mission.evacuation_failed	Evacuation denied. Until the mission objective is completed, we can't evacuate you.						
mission.evacuation_failed_baron	The space around the location is stormy. Evacuation is not possible at this time.						
mission.evacuation.in_process	Find the elevator and get upstairs, we'll pick you up there.						
mission.evacuation.in_process_defense	Find a shuttle and come back, the Magnum's ready to pick you up.						
mission.evacuation_allowed	Good job. Go back to the elevator, we'll pick you up.						
mission.evacuation_allowed_defense	Good work. Get back to the shuttle, we'll pick you up.						
mission.evacuation_flee	Well, better luck next time. At least we saved the biomaterial.		4992	302	0,04992	0,00906	0,05898
mission.evacuation_item_reason	This is a valuable item, getting it pays off by restarting the shuttle. Great job, get back to the spacecraft.						
mission.proc_objective1	Mission Complete						
mission.RaiderCapture_counter	{0}, remaining to kill targets: {1}.						
mission.RaiderCapture_counterFinished	{0}, floor cleared.						
mission.RaiderCapture_counterNoData	{0}, the data is being refined.						
mission.Sabotage_counter	Destroyed objectives: {0}.						
mission.Elimination_counter	Killed targets: {0}.						
mission.Defense_counter	Survive {0} turns.						
mission.Defense_counterKillSurvivors	Kill Survivors: {0}.						
mission.Control_counter	Objects defended: {0}.						
mission.target_stage_sentence1	Mission Goal Location:						
mission.target_stage_sentence2	Get to:						
mission.Tutorial.objective0	Clear all floors of Magnum of invaders.						
mission.Tutorial.stage1.name	Bridge						
mission.Tutorial.stage2.name	Medblock						
mission.Tutorial.stage3.name	Armory						
mission.Tutorial.stage4.name	Engine room						
mission.Tutorial.after	It's over. The Magnum has sustained minor damage. Basically, it won't affect the functionality of the equipment and crew, so we can go where we want and do what we want. The system is open to us.						
mission.SecondTutorial.name	Taste of revenge						
mission.SecondTutorial.briefing	Keep in mind that we're not getting paid for this. Taking a contract would have been a better idea. <color=#FFFEC1>Civil Resistance</color> has set up a field camp in <color=#FFFEC1>Rogue City</color>. Training complexes, as well as some kind of medical facilities or laboratories. It's unclear. Sometimes messages flash in the <color=#FFFEC1>SBN</color> that terrorists are accumulating rare and valuable items. Weapons and equipment for their 'liberation struggle'. Maybe we can justify the time spent here if we're lucky. So let's get even, but let's do it with benefit. Get to their anti-space defense complex and destroy it. After that, the pilots will direct <color=#FFFEC1>‘Magnum’</color> to the cargo dock in <color=#FFFEC1>Rogue City</color> and we will start loading everything that's lying there.						
mission.SecondTutorial.desc	The Rogue City Station's autonomous missile defense server must be destroyed.						
mission.SecondTutorial.details	The Civil Resistance Colnodes attempted to attack our mobile headquarters. We have successfully fought back and must now counterattack their training center.						
mission.SecondTutorial.objective0	Destroy Rogue City Station's missile defense control center.						
mission.SecondTutorial.objective1	The missile defense control center has been successfully destroyed. We can evacuate.						
mission.SecondTutorial.stage1.name	Landing dock						
mission.SecondTutorial.stage2.name	Warehouses						
mission.SecondTutorial.stage3.name	Control Center						
mission.SecondTutorial.after	We not only took all the valuables, but also patched up the holes from the boarding shuttles. In <color=#FFFEC1>Rogue City</color> we had everything we needed for that. Boss, we also found a <color=#FFFEC1>PCPU with a database</color> belonging to the <color=#FFFEC1>AnCom</color> corporation. There is a lot of information about <color=#FFFEC1>quasimorphosis</color> research. They are willing to generously compensate for our expenses in return for such valuable intellectual property. But of course, we made a copy of all the data from their device. Their agent is ready to meet us in <color=#FFFEC1>Rebus Sky City</color> in orbit of <color=#FFFEC1>Mars</color>.						
mission.SinkholePeaceVisit.objective0	Find the Spear of Tezctlan						
mission.SinkholePeaceVisit.objective1	Find three data-containers						
mission.SinkholePeaceVisit.stage1.name	Find the object						
mission.Manifesto.name	Manifesto						
mission.Manifesto.desc	<color=#FFFEC1>Task:</color> Meet with the agent, retrieve the <color=#FFFEC1>Red Chip</color> and plug it in the station's mainframe.						
mission.Manifesto.details	<color=#FFFEC1>Details:</color> The Civil Resistance, represented by <color=#FFFEC1>Issachar</color>, offers us to carry out information sabotage on the Solar System scale. We need to connect the <color=#FFFEC1>Red Chip</color> and infect the global communication system with a generative virus that will destroy it.<br><br><color=#FFFEC1>Additional information:</color> Issachar, the CR coordinator in the Inner System, told us about the <color=#FFFEC1>Red Chip</color> - a device with which the rebels are going to disable communication channels throughout the Solar System. All we need is a powerful server to which most of the Network nodes are connected. Such a server exists and is located in orbit around <color=#FFFEC1>Earth</color>. <color=#FFFEC1>Agent Justas</color> will be waiting for us at the site to hand over the <color=#FFFEC1>Red Chip</color>.<br><br>Near-Earth orbit is a <color=#FFFEC1>demilitarized zone</color>. Corporations do not wage war there by agreement. The CR and pirates do not do so, as they fear brutal vengeance. An attack on the <color=#FFFEC1>Heritage</color> Communications Station could upset the fragile balance in the System. Our actions will kindle a flame that will be difficult to extinguish. We will help the cause of liberation of the working people, and there will be more work for us.<br><br>We need to take the <color=#FFFEC1>Red Chip</color> from the agent at the station, then seize the main communications computer and upload the received virus to it.						
mission.Manifesto.briefing	<color=#FFFEC1>Issachar</color> didn't lie. The <color=#FFFEC1>transponders</color> installed on the shuttle worked. The station took us for their own. <color=#FFFEC1>Heritage</color> operates in semi-automatic mode. Easy job! Find a contact in the docks, take the virus from him, and upload it to the server on the <color=#FFFEC1>lower</color> floor of the station.						
mission.Manifesto.objective0	Find <color=#FFFEC1>Justas</color>, take the <color=#FFFEC1>Red Chip</color>, and plug it in the mainframe.						
mission.Manifesto.objective1	Virus is in the network. Evacuation is authorized.						
mission.Manifesto.stage1.name	Docks						
mission.Manifesto.stage2.name	Security Floor						
mission.Manifesto.stage3.name	Server Bay						
mission.Manifesto.after	Well, the System will be in <color=#FFFEC1>chaos</color> for a while. Maybe it's for the best. Hard to believe in the good intentions of the <color=#FFFEC1>Civil Resistance</color>. But here's the good news: we won't have less work. Get some rest, we'll be back in business soon.						
mission.PoisonTrial.name	Poison Trial						
mission.PoisonTrial.desc	<color=#FFFEC1>Task:</color> Defeat <color=#FFFEC1>Ilhutl</color>, the Great and Accepted Knight of Gannix, in combat.						
mission.PoisonTrial.details	<color=#FFFEC1>Details:</color> Tezctlan has turned the <color=#FFFEC1>Feathered Temple</color> into a base for the Emerald Empire's guard. The Poisonous Knight <color=#FFFEC1>Ilhutl</color> awaits us there. Tezctlan is ready to make a special <color=#FFFEC1>pact</color> with a mortal who can defeat Ilhutl.<br><br><color=#FFFEC1>Additional information:</color> <color=#FFFEC1>Tezctlan</color> is trying to gain a foothold in two worlds at once. After visiting Earth, he felt cramped in the <color=#FFFEC1>bramfatura of Venus</color>, limited by the laws of the quasimorphic world. With the help of <color=#FFFEC1>gavvakh</color>, which his loyal servants obtain on the battlefields of the physical world, Tezctlan and his servants create a new Empire beyond the boundaries between realities.<br><br>We have attracted the attention of Tezctlan. He is ready to make a unique contract with us, according to which you, <color=#FFFEC1>Boss</color>, will become one of the hierarchs of the Emerald Empire.<br><br>However, the Master needs proof. And not of loyalty, but of strength. We must defeat <color=#FFFEC1>Ilhutl</color>, the Poison Knight, champion of the Gannix guard.						
mission.PoisonTrial.briefing	Killing a single quasimorph? Sounds easy. Good luck, though.						
mission.PoisonTrial.objective0	<color=#FFFEC1>Ilhutl</color> must be defeated. Tezctlan ordered it.						
mission.PoisonTrial.objective1	Ilhutl is defeated. This time for good.						
mission.PoisonTrial.stage1.name	Ancient Trial						
mission.PoisonTrial.after	The quasimorphs delivered the <color=#FFFEC1>Skull</color> to the spacecraft while the battle raged below. Did he believe in <color=#FFFEC1>Ilhutl</color> that little, or that much in us, Boss?<br><br>Magnum and the crew are ready to fight, wherever you send us. <color=#FFFEC1>Emerald Empire</color>? Well then. Let's go.						
mission.CovertOps.name	Covert Operations Guide						
mission.CovertOps.desc	<color=#FFFEC1>Task:</color> Activate the <color=#FFFEC1>EMP-Scorcher</color> in the station's data center.						
mission.CovertOps.details	<color=#FFFEC1>Details:</color> <color=#FFFEC1>AnCom</color> is planning operations using the <color=#FFFEC1>RealWare combat AI</color>. This asset is not for sale, so RealWare suspects AnCom of theft. <color=#FFFEC1>Our task</color>: destroy all AnCom data on the combat AI.<br><br><color=#FFFEC1>Additional Information:</color> <color=#FFFEC1>Humankinds's Hope Citadel</color> was the headquarters of the <color=#FFFEC1>Hive Corporation</color>. It could well have claimed the role of <color=#FFFEC1>hexarch</color>, but it ceased to exist in the mid-22nd century. It is not surprising that AnCom decided to organize field research here. On the one hand, <color=#FFFEC1>Citadel</color> is considered a fairly useless asset, on the other hand, the station is <color=#FFFEC1>well protected</color>.<br><br>The latter means that there is <color=#FFFEC1>no single-shaft elevators</color>. Most likely, you will have to deal with a confusing system of <color=#FFFEC1>stairs</color> and long galleries, in which AnCom will have time to organize a defense.						
mission.CovertOps.briefing	You won't believe it, but the mission may be easier than we thought. The geoscanner detected an <color=#FFFEC1>unusual field</color> around the station. AnCom installed morphoprotectors, so the Citadel should not have <color=#FFFEC1>quasimorphosis</color>. Get into the data center, activate the <color=#FFFEC1>EMP-Scorcher</color>, and we'll be ready to pick you up.						
mission.CovertOps.objective0	You need to get to the <color=#FFFEC1>station data center</color> and activate the <color=#FFFEC1>EMP-Scorcher</color>.						
mission.CovertOps.objective1	<color=#FFFEC1>Mission accomplished</color>, the data center is now a pile of junk.						
mission.CovertOps.stage1.name	Landing Zone						
mission.CovertOps.stage2.name	Control Room						
mission.CovertOps.stage3.name	Residential Area						
mission.CovertOps.stage4.name	Data Center						
mission.CovertOps.after	Even <color=#FFFEC1>Hexarchs</color> are ready to be at each other's throats and plunge their hands into other people's business. It seems that there is more and more work for us. <color=#FFFEC1>RealWare reward</color> has been delivered.						
mission.Raid.name	Raid						
mission.Raid.desc	<color=#FFFEC1>Task:</color> Reach Dr. Gendiosa and return with her to the shuttle.						
mission.Raid.details	<color=#FFFEC1>Details:</color> Agents of <color=#FFFEC1>SBN</color> have found out where the <color=#FFFEC1>assistant</color> of the missing <color=#FFFEC1>Dr. Manning</color> is hiding. She must be brought to Magnum and handed over to SBN.<br><br><color=#FFFEC1>Additional information:</color> <color=#FFFEC1>Schwerin</color> is a port that is extremely poorly controlled by its owners. The asset brings in income from rent and docking fees. Trying to organize at least a semblance of order here with the help of your own security service is economically unprofitable. A convenient place to disappear.<br><br><color=#FFFEC1>Dr. Gendiosa</color> is hiding in one of the residential blocks, waiting for something to happen. The report from the SBN agents does not indicate that she has met anyone.<br><br>We hope that it will be a simple walk from the port to the residential complex and back, but this time accompanied by <color=#FFFEC1>Gendiosa</color>. SBN will pick her up immediately after she gets to Magnum.						
mission.Raid.briefing	It's nice to work with the rich and famous. <color=#FFFEC1>SBN</color> has reserved a private dock for us. It will have access to the central elevator system. <color=#FFFEC1>Schwerin</color> is heavy layered, but we will send you straight to the <color=#FFFEC1>Gendiosa floor</color>, LL Sector. Not a nice area, but not a slum either. <color=#FFFEC1>Find her</color> and return to the dock.						
mission.Raid.objective0	Take Dr. <color=#FFFEC1>Gendiosa</color> to the dock where our shuttle is waiting.						
mission.Raid.objective1	Important witness for <color=#FFFEC1>SBN</color> successfully delivered. We can add it to our resume.						
mission.Raid.stage1.name	Private Dock						
mission.Raid.stage2.name	LL Sector						
mission.Raid.after	<color=#FFFEC1>SBN took Dr. Gendiosa</color>. They treated her very well, I am surprised. It seems that she is a really valuable witness. In addition to the usual reward, the SBN operative reported that the ambush was organized by <color=#FFFEC1>Dr. Manning</color>. This was his way of protecting his lab assistant.						
mission.GhoulShip.name	Ship of Ghouls						
mission.GhoulShip.desc	<color=#FFFEC1>Task:</color> Take control of <color=#FFFEC1>HIS Woodpecker</color> and fly it to the temporary pirate base.						
mission.GhoulShip.details	<color=#FFFEC1>Details:</color> Pirates from the <color=#FFFEC1>Unchained Belt</color> want to get their hands on a powerful weapon: a Heavy Interplanetary Spacecraft. We must steal for them the <color=#FFFEC1>HIS Woodpecker</color>, which <color=#FFFEC1>CoreWard MG</color> uses as a base of operations in the Main Belt. But first it has to be refueled, and the agents of the Unchained Belt will help us with this.<br><br><color=#FFFEC1>Additional information:</color> The <color=#FFFEC1>HIS Woodpecker</color> in orbit around <color=#FFFEC1>Vesta</color> has long been used by <color=#FFFEC1>CoreWard MG</color> as a stationary checkpoint in the Main Belt. The pirates have found out that its <color=#FFFEC1>cubecentric engines</color> are fully functional. If the spacecraft is filled with G-3 quantum fuel, it will easily leave orbit.						
mission.GhoulShip.briefing	The shuttle has been detected, so prepare for a fierce defense against the <color=#FFFEC1>CoreWard MG</color> security. In addition, we have <color=#FFFEC1>a new problem</color>: a security system has been installed at the armory level. A signal has been sent from there to block the spacecraft's controls. You will have to get there and <color=#FFFEC1>disable the block</color>. The pirate tanker is already nearby.<br><br>						
mission.GhoulShip.objective0	We need to shut down the arsenal, refuel the <color=#FFFEC1>HIS Woodpecker</color>, and fly it to Interamnia.						
mission.GhoulShip.objective1	Now this is a new pirate spacecraft.						
mission.GhoulShip.stage1.name	Dock						
mission.GhoulShip.stage2.name	Engine room						
mission.GhoulShip.stage3.name	Arsenal						
mission.GhoulShip.stage4.name	Command floor						
mission.GhoulShip.stage5.name	Medical bay						
mission.GhoulShip.after	We managed to ruin relations not only with <color=#FFFEC1>CoreWard MG</color>, but also with <color=#FFFEC1>Dilthey</color>. The SBN is thick with their protest notes, and the Unchained Belt reports that they just picked up a spacecraft abandoned by a vile <color=#FFFEC1>PMC</color>. Let's hope the reward was worth it.						
mission.CommunityAndAnarchy.name	Community and Anarchy						
mission.CommunityAndAnarchy.desc	<color=#FFFEC1>Task:</color> Retrieve AnCom [?] equipment						
mission.CommunityAndAnarchy.details	<color=#FFFEC1>Details:</color> In the <color=#FFFEC1>Oddibjord-3</color> colony under a huge geodesic dome there is a large laboratory complex that belonged to <color=#FFFEC1>Fresco</color> Corporation. The goal is to find and evacuate the device that the guys from <color=#FFFEC1>AnCom</color> want to get. The colony is destroyed as a result of continuous fighting on the surface of Venus since the appearance of Tezctlan. Now the quasimorphs loyal to him have captured the geodesic and will protect it no matter who appears there.<br><br><color=#FFFEC1>Additional Info:</color> <color=#FFFEC1>Hexarchy</color>, the information union of six major corporations, has increased <color=#FFFEC1>censorship</color>. Of course, they deny the very existence of censorship. This vocabulary is something from the distant state past. However, it is easy to censor and deny anything when you control the largest routers in the <color=#FFFEC1>System</color>. The actions of the hexarchs are associated with the appearance of Tezctlan on Venus. It will be easier for hard workers and middle managers to work if they do not know about the <color=#FFFEC1>monsters</color> that prowl around them. Because of our active participation in events we know something. The former assets of the destroyed concern <color=#FFFEC1>Fresco</color> on Venus became a battlefield between various forces and factions. The intensity of quasimorphic events on Venus is extremely high. Messages about it are coming from all the planets and satellites of the Solar System.<br><br>And then our old customer appears again - <color=#FFFEC1>AnCom</color>. We were extremely lucky to find that compact data bank at the Civil Resistance base. It seems that AnCom is hiding success in advanced experiments with quasimorphosis carried out behind the backs of the other hexarchs. <color=#FFFEC1>HIS Unveiled</color>, owned by AnCom, has been in the orbit of Venus for a while and is clearly engaged in a comprehensive study of its surface. And now they have shared something with us.<br><br>As we thought, accusing the <color=#FFFEC1>Civil Resistance</color> of fabricating quasimorphic activity on Venus is a lie. It seems that <color=#FFFEC1>Tezctlan</color> is trying to drag its “court” into our world: the quasimorphs of its bramfatura. There are reports of successful phasing of huge structures. But people like us have the opportunity to raise prices and start getting <color=#FFFEC1>real</color> pleasure.						
mission.CommunityAndAnarchy.briefing	Our scanners can't trace the device, it is likely located somewhere in the underground levels. Look for the elevator down. The geodesic is partially destroyed, so we will drop you right on the territory of the colony. I'm noticing some other signals, but they're not quasimorphs. I think these are some poorly armed marauders: former <color=#FFFEC1>Fresco</color> Sec officers, fugitive PMCs, pirates who broke into the Inner System, and so on. Shouldn't be any problems.						
mission.CommunityAndAnarchy.objective0	You need to pick up the AnCom device if it really is <color=#FFFEC1>their</color> device. You will have to search all over <color=#FFFEC1>Oddibjord-3</color>.						
mission.CommunityAndAnarchy.objective1	We've got the device. What is it this time? <color=#FFFEC1>Crystal Skull</color>? I'm not sure we should have gotten involved in this.						
mission.CommunityAndAnarchy.stage1.name	Colony						
mission.CommunityAndAnarchy.stage2.name	Communications						
mission.CommunityAndAnarchy.stage3.name	Archive						
mission.CommunityAndAnarchy.stage4.name	Excavation Site						
mission.CommunityAndAnarchy.stage5.name	Colony						
mission.CommunityAndAnarchy.after	We have not yet informed <color=#FFFEC1>AnCom</color> that we managed to pull out the <color=#FFFEC1>Crystal Skull</color>. It makes sense to re-think who exactly we should continue to cooperate with. Apparently <color=#FFFEC1>AnCom</color>, <color=#FFFEC1>RealWare</color>, and even <color=#FFFEC1>Tezctlan</color> are all very interested in obtaining the recovered device... Or artifact? Doesn't matter. You choose who we will work for next, <color=#FFFEC1>Boss</color>.						
mission.RuinsOfAncientBramfaturas.name	Ruins of Ancient Bramfaturas						
mission.RuinsOfAncientBramfaturas.desc	<color=#FFFEC1>Task:</color> Acquire Tezctlan's Spear.<br><br>						
mission.RuinsOfAncientBramfaturas.details	<color=#FFFEC1>Details:</color> Xiomara informed us that in the Sinkhole Oasis, a research colony on Mars, we can find an extremely valuable quasimorphic artifact. According to her, we can destroy Tezctlan with its help. If everything is as she says, this weapon will be our trump card in the big game that has begun in the System.<br><br><color=#FFFEC1>Additional Info:</color> Thanks to Xiomara, we have learned a lot about bramfatura and quasimorphosis. Xiomara is the Duchess of Gannix, the bramfatura of Venus, who is now at war with her kind. About 1000 years ago, Tezctlan became a hylonaut. This means he went to Earth, and such quasimorphs are no longer capable of escaping our native planet independently. Our analysts report that this happened around the 13th-14th centuries CE. When Tezctlan disappeared from Gannix, Xiomara took power there. With Tezctlan's return, the situation changed for her. Following Dr. Eipschwitz's lead, we drove her and her loyal knights, the Order of Feathered Masks, back to Gannix.<br><br>During one of our missions on Venus, Xiomara contacted us again. We made a deal and started receiving tasks from her. It helped the Feathered Masks survive in their fight against Tezctlan. It seems to be effectively curbing his activities.<br><br>Now she claims that in the Sinkhole Oasis, a geological research colony on Mars, we can find Tezctlan's spear. When we try to find out how it got there, the duchess vaguely mentions an ancient attack on Mars and the murder of its king. Our analysts speculate that this somehow relates to the absence of quasimorphosis on Mars. In any case, before unlocking all the secrets of the Sinkhole Oasis, we will have to deal with those who currently own it.						
mission.RuinsOfAncientBramfaturas.briefing	The station is broadcasting something strange. Some prayers, chants, music... Human speech in... ancient Sumerian? That doesn't sound like RealWare. The station must be under attack. That's fortunate. In the chaos, we can get the shuttle a little closer than we planned. Attack the Sinkhole Oasis and make your way to the Monolith. Our task is to destroy it and finally obtain Tezctlan's spear.						
mission.RuinsOfAncientBramfaturas.objective0	The spear that killed Urparp is still with him.						
mission.RuinsOfAncientBramfaturas.objective1	Evacuation is possible now.						
mission.RuinsOfAncientBramfaturas.stage1.name	Trade dock						
mission.RuinsOfAncientBramfaturas.stage2.name	Tech dock						
mission.RuinsOfAncientBramfaturas.stage3.name	The Zone						
mission.RuinsOfAncientBramfaturas.stage4.name	The dream of a monster						
mission.RuinsOfAncientBramfaturas.after	Good news: we now have the spear. The bad news: Mars and the satellites, until now completely free of quasimorphic influence, are now ahead of even Gannix on Venus. This is simultaneously a problem for us, the corporations, and even Tezctlan. They and Urparp haven't exactly had the friendliest of relationships. I'd like to ask Xiomara questions, but that's for you to decide, Boss. What's done is done. Mission accomplished.						
mission.UseYourHead.name	Madness put to good uses						
mission.UseYourHead.desc	<color=#FFFEC1>Task:</color> Prepare the site for loading the Telefaturic Dislocator.<br><br>						
mission.UseYourHead.details	"<color=#FFFEC1>Details:</color> Doctor Eipschwitz, whose head we keep in the storage compartment of the Magnum, informed us that at the Fresco Corporation's base, Flat Obsidian, there's the Telephature Dislocator: a device capable of transporting people into the bramfaturas of planets. We need to ensure the security of the device and load it onto the Shuttle.<br><br><color=#FFFEC1>Additional Info:</color> On the Flat Obsidian base, there were structures to accommodate the PMC Tifton and a phased Venusian temple. Our analysts were puzzled over how a temple from Venus could end up on Mercury. It turned out that Eipschwitz is a great connoisseur of quasimorphosis. He talks about some ""ancient roads"" and much more. We'll investigate this further. It was there that we first encountered Xiomara and eliminated her following Eipschwitz's lead.<br><br>After what happened to Fresco, the base became completely unusable. However, Eipschwitz reports that there's another completely secret laboratory site. Hidden among the rocks, the Telephaturic Dislocator stands right on the surface of Mercury. We just need to land the shuttle nearby, make sure everything is quiet, and retrieve the device.<br><br>The Telephaturic Dislocator consumes a lot of energy (that's why Mercury was chosen, an inexhaustible source of heat) to open gates that allow physical objects to transition into the bramfaturas of planets."						
mission.UseYourHead.briefing	Sensors show human marks. Without signatures. It could be equipped by PMC or someone else. Be prepared for contact.						
mission.UseYourHead.objective0	The Telephaturiс Dislocator is somewhere here. We must retrieve it to the Magnum no matter what.						
mission.UseYourHead.objective1	Now you should take important parts and evacuate						
mission.UseYourHead.stage1.name	Flat Obsidian						
mission.UseYourHead.stage2.name	TD Playground						
mission.UseYourHead.stage3.name	Second floor						
mission.UseYourHead.stage4.name	Third floor						
mission.UseYourHead.after	"Eipschwitz is still catatonic. We hooked him up to a virtual simulation and, by repeating his actions, assembled some kind of device. The doctor called it ""the ultimate solution to the damn terrorists and quasimorphs."" It's obviously a bomb, mass producing it requires some sophisticated components, but if we can get them we can get production on stream. I suppose with a bomb like this we could try to raid the Sinkhole Oasis and destroy the Monolith after all. It doesn't sound like a very convincing plan, Boss, but it's the best we've got."						
mission.UnitedForever.name	United Forever						
